DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y16,PL,2017,48,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y16,PL,2018,48,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y16,PL,2019,51,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y16,PL,2020,35,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y16,PL,2021,44,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y16,PL,2022,24,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,1995,2661,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,1996,2324,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,1997,2150,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,1998,1984,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,1999,2011,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2000,1819,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2001,1450,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2002,1200,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2003,906,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2004,703,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2005,736,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2006,721,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2007,759,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2008,796,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2009,568,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2010,410,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2011,335,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2012,266,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2013,241,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2014,213,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2015,173,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2016,153,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2017,109,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2018,130,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2019,97,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2020,87,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2021,73,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y17,PL,2022,63,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,1995,12250,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,1996,11339,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,1997,10208,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,1998,9856,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,1999,9987,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2000,8834,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2001,7559,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2002,6679,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2003,5647,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2004,4516,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2005,4157,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2006,4477,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2007,4593,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2008,4697,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2009,3887,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2010,2920,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2011,2364,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2012,1937,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2013,1508,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2014,1272,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2015,1079,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2016,952,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2017,804,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2018,690,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2019,572,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2020,388,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2021,347,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y18,PL,2022,320,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,1995,20891,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,1996,19433,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,1997,17475,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,1998,16613,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,1999,16935,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2000,14409,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2001,12165,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2002,11358,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2003,10000,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2004,8394,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2005,8225,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2006,8054,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2007,8086,
ESTAT:DEMO_NSINAGEC(1.0),5/9/2024 23:00,A,NR,F,Y19,PL,2008,8068,
