"Code";"Name";"Location";"Types of marriages";"Age of females";"Age of males";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"total";"total";"females total";"35-39";"2022";20064;"-";"";
0000000;"POLAND";"total";"total";"females total";"35-39";"2023";18110;"-";"";
0000000;"POLAND";"total";"total";"females total";"40-49";"2010";10167;"-";"";
0000000;"POLAND";"total";"total";"females total";"40-49";"2011";9642;"-";"";
0000000;"POLAND";"total";"total";"females total";"40-49";"2012";10397;"-";"";
0000000;"POLAND";"total";"total";"females total";"40-49";"2013";10351;"-";"";
0000000;"POLAND";"total";"total";"females total";"40-49";"2014";11339;"-";"";
0000000;"POLAND";"total";"total";"females total";"40-49";"2015";12185;"-";"";
0000000;"POLAND";"total";"total";"females total";"40-49";"2016";13886;"-";"";
0000000;"POLAND";"total";"total";"females total";"40-49";"2017";14764;"-";"";
0000000;"POLAND";"total";"total";"females total";"40-49";"2018";16063;"-";"";
0000000;"POLAND";"total";"total";"females total";"40-49";"2019";17253;"-";"";
0000000;"POLAND";"total";"total";"females total";"40-49";"2020";14917;"-";"";
0000000;"POLAND";"total";"total";"females total";"40-49";"2021";17453;"-";"";
0000000;"POLAND";"total";"total";"females total";"40-49";"2022";18642;"-";"";
0000000;"POLAND";"total";"total";"females total";"40-49";"2023";17733;"-";"";
0000000;"POLAND";"total";"total";"females total";"50-59";"2010";5815;"-";"";
0000000;"POLAND";"total";"total";"females total";"50-59";"2011";5586;"-";"";
0000000;"POLAND";"total";"total";"females total";"50-59";"2012";5528;"-";"";
0000000;"POLAND";"total";"total";"females total";"50-59";"2013";5415;"-";"";
0000000;"POLAND";"total";"total";"females total";"50-59";"2014";5677;"-";"";
0000000;"POLAND";"total";"total";"females total";"50-59";"2015";5834;"-";"";
0000000;"POLAND";"total";"total";"females total";"50-59";"2016";6133;"-";"";
0000000;"POLAND";"total";"total";"females total";"50-59";"2017";6573;"-";"";
0000000;"POLAND";"total";"total";"females total";"50-59";"2018";6638;"-";"";
0000000;"POLAND";"total";"total";"females total";"50-59";"2019";6867;"-";"";
0000000;"POLAND";"total";"total";"females total";"50-59";"2020";6094;"-";"";
0000000;"POLAND";"total";"total";"females total";"50-59";"2021";7158;"-";"";
0000000;"POLAND";"total";"total";"females total";"50-59";"2022";7670;"-";"";
0000000;"POLAND";"total";"total";"females total";"50-59";"2023";7760;"-";"";
0000000;"POLAND";"total";"total";"females total";"60 and more";"2010";4059;"-";"";
0000000;"POLAND";"total";"total";"females total";"60 and more";"2011";4361;"-";"";
0000000;"POLAND";"total";"total";"females total";"60 and more";"2012";4393;"-";"";
0000000;"POLAND";"total";"total";"females total";"60 and more";"2013";4574;"-";"";
0000000;"POLAND";"total";"total";"females total";"60 and more";"2014";4841;"-";"";
0000000;"POLAND";"total";"total";"females total";"60 and more";"2015";4995;"-";"";
0000000;"POLAND";"total";"total";"females total";"60 and more";"2016";5454;"-";"";
0000000;"POLAND";"total";"total";"females total";"60 and more";"2017";5602;"-";"";
0000000;"POLAND";"total";"total";"females total";"60 and more";"2018";5920;"-";"";
0000000;"POLAND";"total";"total";"females total";"60 and more";"2019";6112;"-";"";
0000000;"POLAND";"total";"total";"females total";"60 and more";"2020";5339;"-";"";
0000000;"POLAND";"total";"total";"females total";"60 and more";"2021";5854;"-";"";
0000000;"POLAND";"total";"total";"females total";"60 and more";"2022";6187;"-";"";
0000000;"POLAND";"total";"total";"females total";"60 and more";"2023";6621;"-";"";
