"Code";"Name";"Location";"Types of marriages";"Age of females";"Age of males";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"total";"total";"35-39";"males total";"2022";15076;"-";"";
0000000;"POLAND";"total";"total";"35-39";"males total";"2023";13796;"-";"";
0000000;"POLAND";"total";"total";"40-49";"males total";"2010";6891;"-";"";
0000000;"POLAND";"total";"total";"40-49";"males total";"2011";6832;"-";"";
0000000;"POLAND";"total";"total";"40-49";"males total";"2012";7191;"-";"";
0000000;"POLAND";"total";"total";"40-49";"males total";"2013";7414;"-";"";
0000000;"POLAND";"total";"total";"40-49";"males total";"2014";8133;"-";"";
0000000;"POLAND";"total";"total";"40-49";"males total";"2015";8936;"-";"";
0000000;"POLAND";"total";"total";"40-49";"males total";"2016";10415;"-";"";
0000000;"POLAND";"total";"total";"40-49";"males total";"2017";11556;"-";"";
0000000;"POLAND";"total";"total";"40-49";"males total";"2018";12637;"-";"";
0000000;"POLAND";"total";"total";"40-49";"males total";"2019";13462;"-";"";
0000000;"POLAND";"total";"total";"40-49";"males total";"2020";12237;"-";"";
0000000;"POLAND";"total";"total";"40-49";"males total";"2021";14377;"-";"";
0000000;"POLAND";"total";"total";"40-49";"males total";"2022";15202;"-";"";
0000000;"POLAND";"total";"total";"40-49";"males total";"2023";14863;"-";"";
0000000;"POLAND";"total";"total";"50-59";"males total";"2010";4689;"-";"";
0000000;"POLAND";"total";"total";"50-59";"males total";"2011";4668;"-";"";
0000000;"POLAND";"total";"total";"50-59";"males total";"2012";4610;"-";"";
0000000;"POLAND";"total";"total";"50-59";"males total";"2013";4619;"-";"";
0000000;"POLAND";"total";"total";"50-59";"males total";"2014";4769;"-";"";
0000000;"POLAND";"total";"total";"50-59";"males total";"2015";4783;"-";"";
0000000;"POLAND";"total";"total";"50-59";"males total";"2016";5018;"-";"";
0000000;"POLAND";"total";"total";"50-59";"males total";"2017";5139;"-";"";
0000000;"POLAND";"total";"total";"50-59";"males total";"2018";5143;"-";"";
0000000;"POLAND";"total";"total";"50-59";"males total";"2019";5454;"-";"";
0000000;"POLAND";"total";"total";"50-59";"males total";"2020";4861;"-";"";
0000000;"POLAND";"total";"total";"50-59";"males total";"2021";5637;"-";"";
0000000;"POLAND";"total";"total";"50-59";"males total";"2022";6252;"-";"";
